batch_id,temp_c,pressure_bar,cycle_time_s,motor_speed_rpm,material_density,hardness_hrc,feedstock_purity,grid_carbon_intensity,ambient_temp_c,tool_wear_index,yield_pct,quality_score,energy_kwh,carbon_kg
BATCH_00041,70.91,11.11,185.12,3086.2,2.7859,49.72,0.9274,160.45,27.03,0.1313,99.8,96.97,27.335,4.386
BATCH_00042,66.37,11.68,199.15,3165.5,2.7441,60.14,0.9449,169.83,16.98,0.0719,99.8,96.99,29.712,5.046
BATCH_00043,64.07,11.45,139.6,3460.6,2.7276,54.35,0.9891,426.74,27.61,0.0563,99.5,95.21,26.492,11.305
BATCH_00044,62.59,12.8,187.49,2693.2,2.7252,52.03,0.9474,450.1,15.95,0.072,99.8,96.53,27.962,12.586
BATCH_00045,53.17,10.86,203.31,2832.9,2.778,46.24,0.9644,533.56,17.07,0.066,99.8,96.87,26.783,14.29
BATCH_00046,59.24,14.74,169.62,2675.1,2.749,57.14,0.9542,168.68,22.0,0.004,99.8,95.53,26.52,4.473
BATCH_00047,61.31,12.5,197.52,2800.6,2.8198,56.95,0.9563,402.97,25.15,0.1328,99.63,95.7,28.319,11.412
BATCH_00048,73.46,12.48,250.37,3259.9,2.8249,55.44,0.9966,141.33,29.3,0.081,99.8,96.53,33.28,4.703
BATCH_00049,67.75,11.84,177.39,2396.5,2.6841,53.67,0.9434,117.36,24.23,0.0251,99.8,94.49,25.076,2.943
BATCH_00050,50.9,12.81,189.83,2541.7,2.6772,52.37,0.9696,113.3,23.01,0.0,99.8,94.91,26.507,3.003
BATCH_00051,67.59,14.15,161.55,3213.2,2.7761,55.09,0.9532,161.58,26.32,0.0,99.8,95.01,29.985,4.845
BATCH_00052,61.92,10.77,184.53,3106.0,2.7102,48.97,0.9248,472.2,20.52,0.1038,99.09,94.2,26.597,12.559
BATCH_00053,59.58,11.18,191.51,2691.1,2.6537,61.0,0.9587,156.28,24.56,0.0487,99.8,97.08,25.79,4.031
BATCH_00054,69.89,11.89,184.87,3056.3,2.8277,55.01,0.9843,126.38,19.2,0.0557,99.8,94.01,27.308,3.451
BATCH_00055,73.25,9.81,154.51,2902.4,2.6954,50.29,0.9278,98.79,24.33,0.0938,99.8,96.34,23.759,2.347
BATCH_00056,72.45,10.86,185.16,3250.1,2.8359,52.64,0.9255,105.42,23.48,0.0541,99.8,96.81,27.827,2.933
BATCH_00057,58.29,11.55,216.55,2822.4,2.7935,58.7,0.9321,122.57,20.78,0.0971,99.8,95.71,29.457,3.611
BATCH_00058,62.53,14.25,191.22,3107.7,2.8025,47.75,0.9804,429.72,24.66,0.0795,99.8,95.33,29.634,12.734
BATCH_00059,67.65,13.03,204.05,3592.6,2.6903,49.98,0.9772,92.31,24.63,0.0727,99.8,96.23,31.726,2.929
BATCH_00060,72.8,12.89,174.07,2979.4,2.6968,56.55,0.9646,150.04,28.7,0.0137,99.8,96.0,26.205,3.932
BATCH_00061,61.17,14.2,198.75,2814.8,2.7543,50.36,0.957,106.38,17.58,0.0442,99.8,97.0,28.421,3.023
BATCH_00062,63.51,12.23,186.98,3016.7,2.6844,58.47,0.9902,123.45,23.7,0.1016,99.8,93.37,28.227,3.485
BATCH_00063,56.15,13.28,156.23,2690.4,2.7111,47.22,0.9806,479.11,20.96,0.0506,99.8,95.08,26.499,12.696
BATCH_00064,55.43,12.29,187.96,3516.4,2.7143,57.97,0.9841,105.3,27.48,0.1266,99.8,96.56,29.503,3.107
BATCH_00065,71.5,13.03,155.21,2854.0,2.6819,46.16,0.9842,156.27,27.02,0.1727,99.8,96.05,26.885,4.201
BATCH_00066,75.85,11.33,164.18,2718.1,2.691,45.21,0.9708,503.53,26.03,0.1055,99.8,96.34,26.682,13.435
BATCH_00067,64.42,7.62,184.73,2549.3,2.8077,60.27,0.9562,126.54,21.18,0.1394,99.8,96.26,24.049,3.043
BATCH_00068,73.03,12.23,187.43,3129.2,2.6834,54.88,0.9883,491.98,27.54,0.109,99.8,95.87,27.428,13.494
BATCH_00069,67.89,15.35,150.27,3060.2,2.6557,50.98,0.9932,118.64,17.88,0.0592,99.8,95.7,29.347,3.482
BATCH_00070,59.84,14.35,206.35,2650.8,2.7759,48.95,0.9219,486.87,17.06,0.0891,99.8,98.33,29.742,14.48
BATCH_00071,67.89,14.43,194.3,2972.9,2.8452,55.49,0.9241,141.77,18.9,0.162,99.8,97.53,31.052,4.402
BATCH_00072,77.3,14.97,162.38,2347.4,2.7162,53.65,0.9957,532.91,23.87,0.061,99.8,95.39,24.496,13.054
BATCH_00073,64.71,12.68,141.56,2855.5,2.6737,61.86,0.9419,103.11,26.7,0.0408,99.8,96.08,26.737,2.757
BATCH_00074,77.52,12.89,176.38,2935.8,2.7641,61.71,0.989,462.87,12.1,0.0375,99.55,95.33,27.064,12.527
BATCH_00075,44.04,11.26,168.85,3312.2,2.8313,55.8,0.9507,401.13,29.29,0.0746,99.8,96.83,27.777,11.142
BATCH_00076,71.58,11.87,182.83,2568.8,2.8068,52.53,0.9294,87.98,24.52,0.0436,99.8,96.42,25.467,2.241
BATCH_00077,65.7,13.73,170.92,2416.5,2.7745,53.35,0.9264,471.55,17.73,0.1512,99.8,95.25,27.276,12.862
BATCH_00078,62.61,14.91,129.81,2531.4,2.713,56.6,0.9324,148.46,24.4,0.0933,99.8,97.78,25.03,3.716
BATCH_00079,65.73,12.22,170.29,2399.0,2.7584,46.73,0.9397,127.74,28.37,0.124,99.8,96.25,25.82,3.298
BATCH_00080,49.1,11.6,172.36,3201.0,2.6682,50.58,0.9586,105.89,26.4,0.0736,99.8,98.01,28.148,2.981
BATCH_00081,63.24,12.5,195.84,3264.6,2.7858,46.28,0.9754,98.54,28.4,0.0404,99.8,96.19,29.704,2.927
BATCH_00082,67.86,13.7,162.55,2896.1,2.795,46.25,0.9979,380.83,18.54,0.0341,99.4,95.75,26.484,10.086
BATCH_00083,76.82,9.61,221.97,3166.4,2.843,48.33,0.9549,478.87,22.34,0.0506,99.59,96.51,30.669,14.687
BATCH_00084,60.85,7.91,132.21,2840.2,2.7021,53.25,0.9609,98.85,20.3,0.1013,99.37,96.3,21.676,2.143
BATCH_00085,58.53,11.4,212.78,2771.5,2.6537,58.34,0.9612,374.18,30.87,0.1086,99.8,96.13,28.84,10.791
BATCH_00086,60.99,10.06,174.39,2700.1,2.7591,53.25,0.9626,148.5,26.56,0.1124,99.8,94.8,25.916,3.849
BATCH_00087,72.32,11.48,201.49,2706.9,2.7914,50.7,0.9609,394.43,35.39,0.0292,99.8,96.66,28.14,11.099
BATCH_00088,67.63,12.2,182.0,2335.7,2.8081,46.4,0.9207,88.17,22.13,0.0892,99.8,95.51,26.641,2.349
BATCH_00089,60.76,11.59,208.49,2879.3,2.6887,54.36,0.9201,461.56,21.1,0.0486,99.8,95.55,28.331,13.076
BATCH_00090,69.11,15.4,170.32,2787.9,2.7024,49.61,0.9277,97.44,23.43,0.1061,99.8,95.51,28.998,2.826
BATCH_00091,65.78,13.15,152.53,3023.6,2.7525,55.45,0.928,392.16,29.51,0.1097,99.8,96.44,28.861,11.318
BATCH_00092,72.75,13.1,215.51,2828.1,2.7161,61.61,0.9757,500.88,22.54,0.0441,99.8,94.46,29.309,14.681
BATCH_00093,59.38,13.74,177.16,2751.2,2.8221,46.89,0.9362,109.3,24.5,0.1301,99.12,95.79,27.186,2.972
BATCH_00094,62.38,10.22,185.54,2538.6,2.7448,48.61,0.9907,506.3,24.39,0.1854,99.8,96.98,25.781,13.053
BATCH_00095,61.86,14.58,210.87,2821.6,2.8099,53.04,0.9934,108.99,24.16,0.1257,99.59,94.75,29.379,3.202
BATCH_00096,53.29,12.35,154.2,3021.5,2.7661,61.47,0.9971,99.79,21.39,0.0863,99.8,96.17,27.24,2.718
BATCH_00097,67.37,13.84,194.89,2457.0,2.8046,58.12,0.9942,405.21,23.45,0.0806,99.44,95.37,28.329,11.479
BATCH_00098,67.09,10.36,165.25,2826.2,2.7165,60.27,0.9415,146.09,23.28,0.0853,99.8,95.6,25.549,3.733
BATCH_00099,65.04,9.39,176.7,2869.9,2.8163,50.67,0.9603,78.7,23.97,0.0637,99.8,97.66,24.441,1.923
BATCH_00100,63.12,14.14,181.81,2584.6,2.7049,61.86,0.9339,100.93,27.77,0.1047,99.8,94.35,28.465,2.873
BATCH_00101,53.68,13.25,142.49,2623.6,2.7592,46.75,0.9837,156.17,31.04,0.0495,99.8,96.77,23.588,3.684
BATCH_00102,61.63,10.7,160.53,2869.2,2.6928,45.9,0.9902,126.1,20.64,0.0199,99.8,95.52,24.1,3.039
BATCH_00103,62.26,10.76,213.78,2460.0,2.7451,59.55,0.9873,391.45,22.43,0.1047,99.8,95.47,26.806,10.493
BATCH_00104,58.58,14.75,202.15,2905.0,2.7136,60.76,0.9542,468.11,20.7,0.0972,99.8,94.89,30.428,14.244
BATCH_00105,63.71,10.12,178.43,2531.4,2.7033,46.54,0.9799,126.16,24.75,0.074,99.8,96.75,25.264,3.187
BATCH_00106,68.23,15.79,186.08,3118.9,2.8434,46.93,0.9277,394.83,21.85,0.046,99.8,95.81,30.444,12.02
BATCH_00107,80.09,10.7,172.64,3501.3,2.682,45.56,0.9232,450.83,24.96,0.1093,98.32,93.24,30.462,13.733
BATCH_00108,66.4,13.78,213.91,2541.8,2.8075,46.78,0.9795,91.61,28.41,0.0586,99.8,96.11,28.643,2.624
BATCH_00109,67.06,11.84,174.99,2960.3,2.8468,48.56,0.9536,151.4,13.9,0.0931,99.8,95.83,28.339,4.291
BATCH_00110,64.4,13.71,185.8,2582.0,2.654,61.49,0.9986,520.1,25.97,0.1697,99.8,94.0,28.66,14.906
BATCH_00111,49.65,11.41,208.65,3112.3,2.7898,56.35,0.9277,475.92,22.16,0.1256,99.8,95.51,28.75,13.683
BATCH_00112,64.79,12.17,160.57,2420.4,2.7006,58.24,0.9876,492.25,25.84,0.0452,99.8,96.9,24.361,11.992
BATCH_00113,65.48,12.58,218.97,2944.2,2.6581,58.19,0.9579,441.43,20.41,0.0494,99.8,94.49,31.455,13.885
BATCH_00114,84.71,10.5,141.74,2538.1,2.7306,54.1,0.9853,382.48,28.79,0.1069,97.01,90.25,23.129,8.846
BATCH_00115,63.46,13.98,220.74,2737.9,2.837,58.56,0.9846,484.03,27.65,0.0463,99.8,95.57,29.207,14.137
BATCH_00116,67.41,11.47,170.68,2490.7,2.6524,55.13,0.9924,98.18,26.27,0.0217,99.8,95.27,24.894,2.444
BATCH_00117,64.72,12.04,173.93,3046.7,2.7676,50.35,0.9435,124.12,27.17,0.1235,99.8,95.97,27.734,3.442
BATCH_00118,55.65,10.51,132.75,2548.9,2.7503,54.54,0.995,508.94,21.02,0.1155,99.8,94.91,22.555,11.479
BATCH_00119,74.14,7.38,168.63,2965.6,2.8247,54.07,0.932,494.29,21.52,0.1212,99.8,95.61,24.628,12.174
BATCH_00120,71.02,12.12,154.0,2696.8,2.6668,59.0,0.9265,123.75,27.01,0.1141,99.8,95.95,26.837,3.321
BATCH_00121,71.33,17.33,164.81,2765.7,2.7863,61.69,0.9541,466.92,20.93,0.1014,99.8,96.65,29.093,13.584
BATCH_00122,57.72,14.07,176.57,2844.3,2.786,51.99,0.9854,140.07,29.78,0.078,99.8,97.24,27.154,3.803
BATCH_00123,76.22,12.46,203.94,2571.5,2.7838,57.98,0.9574,103.31,22.71,0.1256,99.79,95.15,26.736,2.762
BATCH_00124,53.79,11.97,185.19,2863.1,2.8385,46.7,0.9855,65.09,26.01,0.1666,99.8,97.89,29.946,1.949
BATCH_00125,69.69,12.54,187.69,3259.1,2.8146,58.21,0.9776,505.71,32.4,0.0858,99.8,95.82,29.491,14.914
BATCH_00126,82.52,13.59,152.61,2566.6,2.6584,51.31,0.9365,144.7,21.18,0.0654,97.18,93.22,25.92,3.751
BATCH_00127,57.08,10.14,157.98,3151.5,2.7442,45.67,0.995,131.16,24.28,0.0613,99.8,97.93,25.694,3.37
BATCH_00128,60.47,14.73,224.97,3249.4,2.7296,51.18,0.9248,103.99,28.22,0.0725,99.8,96.14,32.829,3.414
BATCH_00129,65.8,13.93,161.62,2555.2,2.712,55.38,0.991,91.62,27.81,0.1157,99.8,94.63,27.651,2.534
BATCH_00130,60.97,13.94,221.41,2363.5,2.7403,47.03,0.9441,501.9,22.69,0.0225,99.8,96.09,27.581,13.843
BATCH_00131,52.59,13.38,173.92,2890.6,2.7268,60.71,0.9595,482.19,21.93,0.1261,99.8,95.39,28.579,13.781
BATCH_00132,65.55,12.54,180.06,2635.8,2.7365,46.32,0.9534,116.86,23.07,0.1347,99.8,95.73,25.985,3.036
BATCH_00133,56.5,13.85,206.76,3360.6,2.8459,60.81,0.9336,165.56,29.79,0.0375,99.8,97.98,33.027,5.468
BATCH_00134,68.79,13.68,211.8,2810.4,2.6677,57.02,0.9483,96.33,22.88,0.0707,99.8,94.78,29.804,2.871
BATCH_00135,57.64,11.79,177.23,2559.3,2.8344,50.61,0.9352,164.38,24.31,0.1135,99.8,96.3,25.795,4.24
BATCH_00136,77.4,11.35,170.29,2455.9,2.746,51.64,0.9361,391.05,22.29,0.105,99.8,93.97,24.837,9.713
BATCH_00137,58.73,12.7,178.6,3127.0,2.7747,57.59,0.9348,447.86,26.82,0.132,99.8,95.69,28.663,12.837
BATCH_00138,62.42,15.6,188.45,2628.6,2.816,55.23,0.9586,115.52,24.62,0.106,99.8,96.74,28.578,3.301
BATCH_00139,71.51,10.02,202.28,2813.1,2.7221,56.42,0.983,540.31,19.99,0.1627,99.8,96.32,25.811,13.946
BATCH_00140,55.15,9.56,180.11,3086.7,2.7361,51.62,0.9649,110.87,20.12,0.0997,99.8,95.77,27.023,2.996
BATCH_00141,66.82,12.83,195.47,2654.7,2.7319,53.29,0.9906,488.14,16.01,0.0737,99.8,95.35,27.602,13.474
BATCH_00142,75.46,12.6,220.96,2786.2,2.7249,61.83,0.9703,115.89,20.67,0.0709,99.8,96.1,29.766,3.449
BATCH_00143,52.14,12.85,189.53,2795.0,2.8351,48.64,0.9745,98.57,27.18,0.1434,99.76,97.71,28.022,2.762
BATCH_00144,66.48,12.99,187.79,3005.0,2.8158,52.1,0.9727,132.3,29.3,0.1156,99.8,95.1,28.471,3.767
BATCH_00145,67.08,12.05,142.03,2977.2,2.6718,49.96,0.9555,569.14,26.74,0.1402,99.8,97.91,26.344,14.993
BATCH_00146,71.25,15.48,114.23,2734.0,2.6716,58.01,0.9745,93.59,26.22,0.1398,99.71,97.2,24.522,2.295
BATCH_00147,55.1,9.3,189.71,2819.1,2.7356,57.99,0.9255,102.35,23.49,0.0349,99.8,97.37,26.063,2.668
BATCH_00148,54.44,10.84,177.63,2688.5,2.6697,49.97,0.9879,138.92,27.1,0.0706,99.8,96.31,24.388,3.388
BATCH_00149,69.18,12.29,167.13,2356.7,2.7738,46.38,0.9814,393.48,25.15,0.0758,99.8,97.17,25.729,10.124
BATCH_00150,67.38,9.21,186.09,2877.3,2.6787,45.19,0.9394,473.97,31.22,0.0844,99.8,94.99,26.824,12.714
BATCH_00151,67.0,12.15,178.49,3367.7,2.7545,52.27,0.9807,466.6,23.61,0.1007,99.8,95.33,28.788,13.433
BATCH_00152,67.77,15.82,208.19,2534.9,2.6514,51.98,0.921,474.85,29.37,0.1579,99.8,96.77,30.544,14.504
BATCH_00153,59.56,12.54,182.15,2568.1,2.7133,61.8,0.9372,127.73,27.5,0.1664,99.8,96.3,27.24,3.479
BATCH_00154,66.86,12.96,161.33,2538.8,2.7854,52.99,0.9251,102.9,26.94,0.1072,99.8,95.85,25.024,2.575
BATCH_00155,67.34,9.98,204.75,3017.4,2.7468,49.36,0.9816,438.58,15.95,0.1093,99.8,93.5,26.722,11.72
BATCH_00156,59.29,11.27,174.57,2934.5,2.8457,60.15,0.9797,455.6,27.72,0.0916,99.8,95.56,27.324,12.449
BATCH_00157,79.93,11.75,193.16,2752.4,2.8248,53.35,0.9843,513.32,23.49,0.1238,98.78,92.46,27.104,13.913
BATCH_00158,68.79,11.86,168.06,2524.6,2.7218,55.19,0.9204,71.21,22.22,0.1288,99.8,96.49,26.542,1.89
BATCH_00159,55.47,15.06,163.75,2827.7,2.6591,46.63,0.9596,131.38,18.07,0.1534,99.8,95.81,28.541,3.75
BATCH_00160,70.25,13.62,182.1,2330.6,2.8191,51.51,0.9757,117.24,23.98,0.1535,99.8,95.37,26.127,3.063
BATCH_00161,57.2,10.28,180.32,2843.0,2.8322,61.05,0.9323,414.8,24.13,0.03,99.5,98.64,27.502,11.408
BATCH_00162,71.3,12.99,192.0,3061.5,2.8141,55.02,0.9713,136.3,18.79,0.1164,99.54,97.04,29.993,4.088
BATCH_00163,74.27,13.5,173.28,2424.6,2.6756,50.86,0.9266,469.45,18.11,0.1783,99.31,97.06,23.796,11.171
BATCH_00164,58.43,14.78,134.09,2340.2,2.8496,55.64,0.9343,431.54,25.95,0.1059,99.8,98.2,24.247,10.464
BATCH_00165,72.71,15.66,169.18,3273.8,2.7017,60.48,0.9576,103.69,27.49,0.1694,99.8,96.8,29.901,3.1
BATCH_00166,68.3,10.47,199.85,2616.5,2.7948,49.66,0.9716,177.94,24.76,0.112,99.8,95.23,26.13,4.65
BATCH_00167,71.58,10.88,172.57,3140.8,2.8316,53.59,0.9315,484.13,28.6,0.1317,99.8,95.11,27.734,13.427
BATCH_00168,80.17,9.98,173.84,2753.8,2.6971,61.3,0.9346,506.13,23.65,0.0797,98.67,94.48,25.834,13.075
BATCH_00169,63.04,12.03,204.66,2751.4,2.8317,47.93,0.9362,419.29,23.78,0.0817,99.8,93.94,28.396,11.906
BATCH_00170,58.97,13.43,162.2,2931.5,2.7119,57.23,0.9389,501.98,20.33,0.1551,99.8,95.92,28.871,14.492
BATCH_00171,57.88,14.47,141.43,2534.8,2.8453,55.45,0.9379,139.92,17.76,0.1618,99.8,93.83,26.492,3.707
BATCH_00172,58.47,12.35,175.98,2839.7,2.7063,56.55,0.9512,137.95,31.42,0.128,99.8,96.1,28.036,3.868
BATCH_00173,64.38,11.86,167.9,2685.6,2.8407,50.97,0.9716,483.95,28.53,0.0783,99.8,96.85,26.133,12.647
BATCH_00174,67.73,12.8,155.84,2403.9,2.6607,50.34,0.9546,514.71,18.43,0.1296,99.8,96.28,26.108,13.438
BATCH_00175,67.21,10.83,175.62,2901.2,2.7919,56.63,0.9813,481.96,24.62,0.1786,99.8,96.94,27.07,13.047
BATCH_00176,71.62,16.68,192.29,2721.0,2.7564,48.66,0.9768,105.29,23.6,0.1985,99.8,97.96,30.452,3.206
BATCH_00177,65.1,9.28,179.77,2752.9,2.7456,52.13,0.93,473.96,22.9,0.1166,99.8,95.86,24.185,11.463
BATCH_00178,76.63,12.87,187.67,2437.0,2.6947,48.2,0.9239,90.79,22.36,0.0633,99.79,98.03,27.252,2.474
BATCH_00179,62.88,16.55,225.34,3277.4,2.7911,45.14,0.9894,409.33,25.53,0.1638,99.8,96.21,34.204,14.001
BATCH_00180,86.76,12.51,171.43,3063.0,2.6882,61.49,0.9263,112.94,27.27,0.1196,95.06,91.3,30.621,3.458
BATCH_00181,70.01,12.12,186.96,3089.2,2.7606,52.34,0.9317,96.41,25.61,0.1688,99.8,95.39,28.941,2.79
BATCH_00182,58.14,11.79,167.27,2708.4,2.7006,61.48,0.9217,107.37,23.52,0.1427,99.58,97.62,26.481,2.843
BATCH_00183,56.43,12.14,158.84,2281.2,2.8411,47.39,0.9696,115.9,23.37,0.0966,99.8,97.04,24.606,2.852
BATCH_00184,68.86,15.25,165.38,3385.9,2.6557,54.99,0.966,130.06,27.75,0.1347,99.8,97.47,29.938,3.894
BATCH_00185,63.21,8.08,168.03,2781.7,2.6899,48.42,0.998,143.73,25.85,0.1852,99.8,96.05,25.326,3.64
BATCH_00186,70.71,15.57,188.99,2575.4,2.6985,58.43,0.9901,485.33,24.29,0.1273,99.71,94.74,28.908,14.03
BATCH_00187,68.79,9.65,238.73,2925.0,2.7328,58.32,0.9525,453.49,23.86,0.0923,99.8,96.46,29.142,13.216
BATCH_00188,64.42,11.97,162.1,3150.1,2.6965,46.91,0.9494,542.05,25.38,0.0706,99.55,94.3,28.485,15.44
BATCH_00189,58.23,11.64,169.58,2793.1,2.7483,60.51,0.9435,132.6,22.13,0.1038,99.72,95.66,25.812,3.423
BATCH_00190,52.88,13.68,178.42,3183.6,2.8245,48.31,0.932,123.84,27.29,0.1187,99.53,96.19,29.941,3.708
BATCH_00191,61.43,9.3,189.89,3124.9,2.7924,55.42,0.9309,475.84,19.7,0.1683,99.8,98.38,29.214,13.901
BATCH_00192,71.85,13.42,186.59,2477.1,2.766,61.76,0.9305,149.68,22.35,0.0912,99.77,96.32,26.425,3.955
BATCH_00193,66.71,16.55,212.1,2597.9,2.6678,60.0,0.929,150.59,26.44,0.1986,99.68,96.14,30.876,4.65
BATCH_00194,55.03,9.77,119.34,3087.3,2.7888,61.26,0.939,153.37,19.47,0.0834,99.8,95.94,25.947,3.98
BATCH_00195,66.39,12.88,120.33,1986.2,2.6833,50.82,0.9442,121.03,17.71,0.2306,99.8,94.66,22.709,2.749
BATCH_00196,68.08,11.18,167.6,2755.2,2.8073,46.79,0.996,133.87,24.25,0.2068,99.8,96.09,26.301,3.521
BATCH_00197,57.93,13.35,207.43,2370.8,2.7,48.2,0.9657,477.77,17.21,0.1439,99.8,96.1,28.553,13.642
BATCH_00198,66.23,12.54,140.86,2657.0,2.7334,53.51,0.998,436.32,18.8,0.0728,99.8,95.03,24.377,10.636
BATCH_00199,65.47,11.22,104.81,2710.4,2.7201,58.48,0.9494,112.04,27.03,0.1369,99.8,94.81,21.702,2.432
BATCH_00200,55.86,13.48,194.28,2692.5,2.8218,47.55,0.9562,517.69,23.18,0.1241,99.8,95.52,29.576,15.311
BATCH_00201,67.86,16.11,186.09,2634.3,2.6753,56.22,0.9456,456.05,29.14,0.0891,99.8,96.06,28.13,12.829
BATCH_00202,69.49,12.12,152.74,2470.9,2.7631,50.5,0.9344,142.88,19.18,0.1521,99.8,95.54,26.934,3.848
BATCH_00203,73.66,13.94,155.36,3487.6,2.6784,50.8,0.9313,114.23,23.62,0.108,99.8,94.95,29.463,3.366
